target,feature,coefficient,model
gpu_temp_c,target_offered_rps,0.9226536642944747,linear_load_conditioned
gpu_temp_c,scheduled_request_count,0.6411052687503171,linear_load_conditioned
gpu_temp_c,launched_request_count,0.6411052687503174,linear_load_conditioned
gpu_temp_c,inflight_count_max,0.0,linear_load_conditioned
gpu_temp_c,vm_cluster_semantic__namespace_total__cpu_cores_rate,0.347509720407904,linear_load_conditioned
gpu_temp_c,vm_target_node_semantic__node_compute_features__cpu_compute__cpu_user_percent,-0.07088133057895507,linear_load_conditioned
gpu_temp_c,vm_target_node_semantic__node_compute_features__cpu_compute__load5,2.4023888915951805,linear_load_conditioned
gpu_temp_c,vm_target_node_semantic__node_compute_features__ram_capacity__memory_usage_percent,1.127989023444226,linear_load_conditioned
sm_clock_mhz,target_offered_rps,10.560166742360021,linear_load_conditioned
sm_clock_mhz,scheduled_request_count,1.5242157050365015,linear_load_conditioned
sm_clock_mhz,launched_request_count,1.5242157050365006,linear_load_conditioned
sm_clock_mhz,inflight_count_max,0.0,linear_load_conditioned
sm_clock_mhz,vm_cluster_semantic__namespace_total__cpu_cores_rate,0.24697846697733195,linear_load_conditioned
sm_clock_mhz,vm_target_node_semantic__node_compute_features__cpu_compute__cpu_user_percent,1.7157027301717127,linear_load_conditioned
sm_clock_mhz,vm_target_node_semantic__node_compute_features__cpu_compute__load5,1.4663548491737677,linear_load_conditioned
sm_clock_mhz,vm_target_node_semantic__node_compute_features__ram_capacity__memory_usage_percent,9.896302099070255,linear_load_conditioned
completion_latency_p95,target_offered_rps,-1.2772002572658199,linear_load_conditioned
completion_latency_p95,scheduled_request_count,2.0358872589994084,linear_load_conditioned
completion_latency_p95,launched_request_count,2.035887258999407,linear_load_conditioned
completion_latency_p95,inflight_count_max,-4.440892098500626e-16,linear_load_conditioned
completion_latency_p95,vm_cluster_semantic__namespace_total__cpu_cores_rate,-0.8542442980578213,linear_load_conditioned
completion_latency_p95,vm_target_node_semantic__node_compute_features__cpu_compute__cpu_user_percent,-0.6668296295705174,linear_load_conditioned
completion_latency_p95,vm_target_node_semantic__node_compute_features__cpu_compute__load5,0.4643253307787046,linear_load_conditioned
completion_latency_p95,vm_target_node_semantic__node_compute_features__ram_capacity__memory_usage_percent,0.5938326045319324,linear_load_conditioned
